feature_1,feature_2,feature_3,feature_4,feature_5,target
-203.8450932434068,52.066873877112414,-6.55559523390032,5.565991906247981,-14.577366887898947,2
-195.48381315318207,49.64922864317478,5.8088674395979645,5.087823001551887,-13.990976313860749,1
-214.00164615332582,49.09837149796017,12.165085302098399,4.387275485495912,-16.090674805546833,0
-201.54494201977403,50.47147908337531,7.132091888952283,5.22391284455188,-16.641491685549127,1
-210.28203327262602,49.76467671166764,9.376894187185007,4.715864343263948,-16.29598293719301,1
-212.10206549503,49.873278179690956,6.526996494655952,4.661375153244787,-15.405596391477179,1
-191.29702599496568,49.221501726132395,5.400031945884784,5.053128754037348,-12.69283797869193,1
-214.6036092377557,49.47948192750816,6.778818402378101,4.4389650708156365,-14.705665183540697,1
-190.66389808483734,49.6161297057551,8.691578646386438,5.264904336262579,-14.958641876915635,1
-209.5468044282328,48.900648238116645,-1.2823719845205017,4.272269053059851,-9.800301084184637,2
-212.84167624291513,49.93434314803075,-5.410699504445532,4.501013832505249,-10.53002799269715,2
-206.28251838791988,47.95403327223356,-3.793533810935472,3.986146401388132,-6.466074093137262,1
-205.88848478373228,49.27191799958196,9.180496183654014,4.666128756451922,-14.931986743185542,0
-192.93405009053572,49.199412999401694,2.045393330205971,4.948642351959606,-11.285063221124021,1
-199.44357640524916,50.11510146039281,5.74835993818164,5.137615858537375,-15.169562434483808,1
-190.78903107281195,48.553177533684625,10.122778752733533,4.882014020254291,-13.146983970837018,1
-186.61247558065486,48.31019860541665,12.057148990060146,4.947627704508016,-13.259484207063373,1
-197.15928948764454,50.97375497916284,-1.8868812990666735,5.428340811300933,-13.817866165384508,0
-203.7049997643285,48.470711580737635,6.320740552862629,4.395979867662562,-11.820771257358853,1
-181.1509615868469,51.464731673437484,-0.7622889286371398,6.128255029464231,-14.831786925047826,2
-198.65873082220648,50.27356648324875,-10.431590351686864,5.004549987323366,-8.669115404292146,2
-192.25977868289928,49.37893254122917,-3.0894637756646093,4.968125040305112,-9.500990717772817,1
-194.0830967996411,48.5349618085721,-10.142804328888847,4.500340987882476,-4.666346253988748,0
-218.65995196021532,49.641896507156396,-1.4408607241618188,4.262644590242825,-11.751017801756824,2
-206.15908631143003,49.87906082880591,9.007922034158788,4.882774804710751,-16.251502417351894,0
-206.12988145316893,48.78860436541087,-3.9155823125452627,4.301905328216465,-8.309524726906915,2
